Name,Enabled,Description,HasEvenSpaceCharacters,UsedSystemFont,HelpshiftSDKLanguage,TermsAndServiceUrl,ParentsGuideUrl,PrivacyPolicyUrl,HelpshiftSDKLanguageAndroid,SortOrder,TestLanguage,TestExcludes,RegionListFile,RoyalBoxUrl
String,boolean,string,boolean,string,string,string,string,string,string,int,boolean,string,string,string
EN,TRUE,,,,en,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,1,,,,https://clashroyale.com
FR,TRUE,,,,fr,http://supercell.com/en/terms-of-service/fr,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/fr,,2,,,,https://clashroyale.com
DE,TRUE,,,,de,http://supercell.com/en/terms-of-service/de,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/de,,3,,,,https://clashroyale.com
ES,TRUE,,,,es,http://supercell.com/en/terms-of-service/es,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/es,,4,,,,https://clashroyale.com
IT,TRUE,,,,it,http://supercell.com/en/terms-of-service/it,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/it,,5,,,,https://clashroyale.com
NL,TRUE,,,,nl,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,6,,,,https://clashroyale.com
NO,TRUE,,,,,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,7,,,,https://clashroyale.com
PT,TRUE,,,,pt,http://supercell.com/en/terms-of-service/pt,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/pt,pt_Br,8,,,,https://clashroyale.com
TR,TRUE,,,,tr,http://supercell.com/en/terms-of-service/tr,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/tr,,9,,,,https://clashroyale.com
CN,TRUE,,TRUE,STHeitiSC-Medium,zh-Hans,http://supercell.com/en/terms-of-service/cn,http://www.supercell.com/en/parents/cn,http://www.supercell.com/en/privacy-policy/cn,zh_CN,11,,,csv_client/sorted_regions/CN_regions.csv,https://clashroyale.com
JP,TRUE,,TRUE,HiraKakuProN-W6,ja,http://supercell.com/en/terms-of-service/jp,http://www.supercell.com/en/parents/jp,http://www.supercell.com/en/privacy-policy/jp,,13,,,csv_client/sorted_regions/JP_regions.csv,https://clashroyale.com
KR,TRUE,,TRUE,,ko,http://supercell.com/en/terms-of-service/ko,http://www.supercell.com/en/parents/ko,http://www.supercell.com/en/privacy-policy/ko,,14,,,csv_client/sorted_regions/KR_regions.csv,https://clashroyale.com
RU,TRUE,,,,ru,http://supercell.com/en/terms-of-service/ru,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/ru,,10,,,,https://clashroyale.com
TEXT,FALSE,Longest text,,,zh-hans,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,zh_CN,1000,TRUE,AR,,https://clashroyale.com
,,,,,,,,,,,,FA,,
WORD,FALSE,Longest word,,,cn,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,zh_TW,1001,TRUE,AR,,https://clashroyale.com
,,,,,,,,,,,,FA,,
DOUBLE,FALSE,Double String,,,zh-Hans,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,zh_CN,1002,TRUE,,,https://clashroyale.com
EMPTY,FALSE,Empty texts,,,ko,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,ko,1003,TRUE,,,https://clashroyale.com
CNT,TRUE,,TRUE,STHeitiSC-Medium,zh-Hant,http://supercell.com/en/terms-of-service/cn,http://www.supercell.com/en/parents/cn,http://www.supercell.com/en/privacy-policy/cn,zh_TW,12,,,csv_client/sorted_regions/CNT_regions.csv,https://clashroyale.com
AR,TRUE,,,,ar,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,15,,,,https://clashroyale.com
FA,TRUE,,,,,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/,http://www.supercell.com/en/privacy-policy/,,16,,,,https://clashroyale.com
MS,TRUE,,,,ms,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/ms,http://www.supercell.com/en/privacy-policy/,,17,,,,https://clashroyale.com
ID,TRUE,,,,id,http://supercell.com/en/terms-of-service/,http://www.supercell.com/en/parents/id,http://www.supercell.com/en/privacy-policy/,,18,,,,https://clashroyale.com
